OID_,ชุมชน,รหัสเขต,รหัสไปรษณีย์,รหัสประเภทชุมชน,ละติจูด,ลองจิจูด,เขต,แขวง,ประเภทชุมชน
1648,ชุมชนหมู่บ้านอมรทรัพย์,1003,100305,5,13.84012671,100.8408592,เขตหนองจอก,แขวงโคกแฝด,ชุมชนเมือง
1246,ชุมชนสามัคคี,1049,104901,5,13.64636186,100.5143049,เขตทุ่งครุ,แขวงบางมด,ชุมชนเมือง
1453,ชุมชนหมู่บ้านซื่อตรง,1042,104203,5,13.89186533,100.6180169,เขตสายไหม,แขวงคลองถนน,ชุมชนเมือง
1454,ชุมชนทองอยู่ร่วมใจ,1042,104203,5,13.89400153,100.613461,เขตสายไหม,แขวงคลองถนน,ชุมชนเมือง
1218,ชุมชนหมู่บ้านอยู่เจริญ (โครงการ 3),1026,102601,5,13.7949719,100.5686616,เขตดินแดง,แขวงดินแดง,ชุมชนเมือง
1280,ชุมชนหมู่บ้านมณียาวิลล์,1047,104701,5,13.68250561,100.6152259,เขตบางนา,แขวงบางนา,ชุมชนเมือง
1219,ชุมชนริมคลองหัวหมากใหญ่,1034,103401,5,13.73554426,100.6456572,เขตสวนหลวง,แขวงสวนหลวง,ชุมชนเมือง
1221,ชุมชนคลองหัวหมาก,1034,103401,5,13.73236249,100.6347894,เขตสวนหลวง,แขวงสวนหลวง,ชุมชนเมือง
1222,ชุมชนพัฒนาคลองสะแก,1034,103401,5,13.73419437,100.6077292,เขตสวนหลวง,แขวงสวนหลวง,ชุมชนเมือง
1223,ชุมชนมหาพลสัมพันธ์,1034,103401,5,13.71042932,100.6396022,เขตสวนหลวง,แขวงสวนหลวง,ชุมชนเมือง
1224,ชุมชนร่มเย็น,1040,104004,5,13.69200801,100.3932163,เขตบางแค,แขวงหลักสอง,ชุมชนเมือง
1652,ชุมชนบ้านทรัพย์เจริญ,1003,100305,5,13.84276842,100.8284393,เขตหนองจอก,แขวงโคกแฝด,ชุมชนเมือง
1653,ชุมชนกิติชัย 2,1003,100302,5,13.85947106,100.8356279,เขตหนองจอก,แขวงหนองจอก,ชุมชนเมือง
1654,ชุมชนจรัญสนิทวงศ์ 66/1,1025,102501,5,13.78563179,100.496562,เขตบางพลัด,แขวงบางพลัด,ชุมชนเมือง
1225,ชุมชนจอมทอง,1035,103504,5,13.69752558,100.4707446,เขตจอมทอง,แขวงจอมทอง,ชุมชนเมือง
